algo,repeat,op,ops_per_sec,bytes,notes
rsa2048,1,sign,2271.1,NA,openssl_speed
rsa2048,1,verify,78860.0,NA,openssl_speed
rsa2048,1,encrypt,74228.1,NA,openssl_speed
rsa2048,1,decrypt,2238.6,NA,openssl_speed
rsa2048,2,sign,2264.0,NA,openssl_speed
rsa2048,2,verify,78892.2,NA,openssl_speed
rsa2048,2,encrypt,74408.1,NA,openssl_speed
rsa2048,2,decrypt,2229.7,NA,openssl_speed
rsa2048,3,sign,2263.0,NA,openssl_speed
rsa2048,3,verify,78790.4,NA,openssl_speed
rsa2048,3,encrypt,74007.5,NA,openssl_speed
rsa2048,3,decrypt,2237.0,NA,openssl_speed
rsa2048,4,sign,2260.8,NA,openssl_speed
rsa2048,4,verify,78819.0,NA,openssl_speed
rsa2048,4,encrypt,74201.0,NA,openssl_speed
rsa2048,4,decrypt,2236.4,NA,openssl_speed
rsa2048,5,sign,2262.8,NA,openssl_speed
rsa2048,5,verify,78733.8,NA,openssl_speed
rsa2048,5,encrypt,74315.2,NA,openssl_speed
rsa2048,5,decrypt,2234.0,NA,openssl_speed
