algo,repeat,op,ops_per_sec,bytes,notes
rsa3072,1,sign,742.6,NA,openssl_speed
rsa3072,1,verify,37094.2,NA,openssl_speed
rsa3072,1,encrypt,35654.9,NA,openssl_speed
rsa3072,1,decrypt,739.2,NA,openssl_speed
rsa3072,2,sign,741.4,NA,openssl_speed
rsa3072,2,verify,37163.6,NA,openssl_speed
rsa3072,2,encrypt,35910.3,NA,openssl_speed
rsa3072,2,decrypt,738.8,NA,openssl_speed
rsa3072,3,sign,742.4,NA,openssl_speed
rsa3072,3,verify,37067.0,NA,openssl_speed
rsa3072,3,encrypt,35909.1,NA,openssl_speed
rsa3072,3,decrypt,738.8,NA,openssl_speed
rsa3072,4,sign,742.0,NA,openssl_speed
rsa3072,4,verify,37137.6,NA,openssl_speed
rsa3072,4,encrypt,35850.1,NA,openssl_speed
rsa3072,4,decrypt,739.4,NA,openssl_speed
rsa3072,5,sign,742.4,NA,openssl_speed
rsa3072,5,verify,37174.2,NA,openssl_speed
rsa3072,5,encrypt,35868.2,NA,openssl_speed
rsa3072,5,decrypt,739.0,NA,openssl_speed
