platform,algorithm,count,mean,std,var,median,p95,t_min,t_max
tls_results_celeron,x448_frodo976aes,100,0.23120000000000002,0.006857864319910611,4.703030303030303e-05,0.23,0.24,0.22,0.24
tls_results_celeron,p521_frodo1344shake,100,0.2325,0.007159792333764031,5.1262626262626195e-05,0.23,0.24,0.22,0.25
tls_results_celeron,p384_frodo976aes,100,0.2607,0.00807227453457924,6.516161616161649e-05,0.26,0.27,0.25,0.28
tls_results_celeron,frodo1344aes,100,0.3358,0.007132228744837537,5.086868686868683e-05,0.34,0.35,0.32,0.35
tls_results_celeron,p521_frodo1344aes,100,0.37549999999999994,0.008572330399888277,7.348484848484871e-05,0.38,0.39,0.36,0.39
tls_results_raspberry,secp256r1,100,0.3225,0.015914861868166756,0.0002532828282828283,0.33,0.33,0.28,0.34
tls_results_raspberry,P-256,100,0.327,0.01068369852351771,0.0001141414141414145,0.33,0.33,0.28,0.34
tls_results_raspberry,x25519,100,0.33010000000000006,0.0010000000000000002,1.0000000000000006e-06,0.33,0.33,0.33,0.34
tls_results_raspberry,MLKEM1024,100,0.33030000000000004,0.0017144660799776432,2.9393939393939066e-06,0.33,0.33,0.33,0.34
tls_results_raspberry,MLKEM512,100,0.33030000000000004,0.0017144660799776497,2.9393939393939287e-06,0.33,0.33,0.33,0.34
tls_results_raspberry,X25519MLKEM768,100,0.33030000000000004,0.0017144660799776595,2.939393939393962e-06,0.33,0.33,0.33,0.34
tls_results_raspberry,SecP256r1MLKEM768,100,0.33039999999999997,0.001969463855669323,3.8787878787878765e-06,0.33,0.33,0.33,0.34
tls_results_raspberry,P-384,100,0.3307,0.0168927095625195,0.0002853636363636377,0.34,0.34,0.29,0.35
tls_results_raspberry,MLKEM768,100,0.3335,0.010859525446781402,0.0001179292929292928,0.33,0.3509999999999999,0.33,0.39
tls_results_raspberry,P-521,100,0.3353,0.013139115785941003,0.00017263636363636407,0.34,0.34,0.29,0.35
tls_results_raspberry,x448,100,0.33630000000000004,0.004852365870939098,2.3545454545454548e-05,0.34,0.34,0.33,0.34
tls_results_raspberry,secp384r1,100,0.34,0.0,0.0,0.34,0.34,0.34,0.34
tls_results_raspberry,brainpoolP256r1tls13,100,0.3403,0.0017144660799776404,2.9393939393938965e-06,0.34,0.34,0.34,0.35
tls_results_raspberry,secp521r1,100,0.3403,0.0017144660799776493,2.939393939393927e-06,0.34,0.34,0.34,0.35
tls_results_raspberry,SecP384r1MLKEM1024,100,0.3404,0.0019694638556693256,3.878787878787886e-06,0.34,0.34,0.34,0.35
tls_results_raspberry,ffdhe2048,100,0.34080000000000005,0.002726599243442885,7.434343434343312e-06,0.34,0.35,0.34,0.35
tls_results_raspberry,x25519_mlkem512,100,0.3503,0.0017144660799776504,2.9393939393939308e-06,0.35,0.35,0.35,0.36
tls_results_raspberry,brainpoolP384r1tls13,100,0.3604,0.0019694638556693165,3.87878787878785e-06,0.36,0.36,0.36,0.37
tls_results_raspberry,x448_mlkem768,100,0.3604,0.0019694638556693204,3.8787878787878655e-06,0.36,0.36,0.36,0.37
tls_results_raspberry,ffdhe3072,100,0.3703,0.0017144660799776595,2.939393939393962e-06,0.37,0.37,0.37,0.38
tls_results_raspberry,frodo640shake,100,0.3705,0.0021904291355759014,4.797979797979792e-06,0.37,0.37049999999999994,0.37,0.38
tls_results_raspberry,x25519_frodo640shake,100,0.38060000000000005,0.0023868325657594195,5.696969696969694e-06,0.38,0.39,0.38,0.39
tls_results_raspberry,brainpoolP512r1tls13,100,0.38130000000000003,0.003379976689896315,1.1424242424242448e-05,0.38,0.39,0.38,0.39
tls_results_raspberry,frodo640aes,100,0.39039999999999997,0.0019694638556693217,3.8787878787878706e-06,0.39,0.39,0.39,0.4
tls_results_raspberry,x25519_frodo640aes,100,0.4006,0.0023868325657594113,5.6969696969696545e-06,0.4,0.41,0.4,0.41
tls_results_raspberry,ffdhe4096,100,0.4195,0.0032952368440805372,1.0858585858585859e-05,0.42,0.42,0.41,0.43
tls_results_raspberry,frodo976shake,100,0.4266,0.0047609522856952476,2.2666666666666803e-05,0.43,0.43,0.42,0.43
tls_results_raspberry,x448_frodo976shake,100,0.45,0.0,0.0,0.45,0.45,0.45,0.45
tls_results_raspberry,p256_mlkem512,100,0.46090000000000003,0.006210938542262138,3.857575757575733e-05,0.46,0.46,0.46,0.52
tls_results_raspberry,p384_mlkem768,100,0.47029999999999994,0.0017144660799776536,2.9393939393939422e-06,0.47,0.47,0.47,0.48
tls_results_raspberry,p521_mlkem1024,100,0.4711,0.003144660377352205,9.888888888888914e-06,0.47,0.48,0.47,0.48
tls_results_raspberry,bp256_mlkem512,100,0.47259999999999996,0.0044084400227680795,1.9434343434343424e-05,0.47,0.48,0.47,0.48
tls_results_raspberry,p256_frodo640shake,100,0.48059999999999997,0.002386832565759426,5.696969696969725e-06,0.48,0.49,0.48,0.49
tls_results_raspberry,frodo976aes,100,0.4868,0.004688261722621508,2.1979797979797987e-05,0.49,0.49,0.48,0.49
tls_results_raspberry,bp384_mlkem768,100,0.5003,0.0017144660799776517,2.9393939393939354e-06,0.5,0.5,0.5,0.51
tls_results_raspberry,p256_frodo640aes,100,0.51,0.0,0.0,0.51,0.51,0.51,0.51
tls_results_raspberry,x448_frodo976aes,100,0.5101,0.0009999999999999998,9.999999999999997e-07,0.51,0.51,0.51,0.52
