algo,repeat,op,ops_per_sec,bytes,notes
rsa2048,1,sign,500.2,NA,openssl_speed
rsa2048,1,verify,16622.6,NA,openssl_speed
rsa2048,1,encrypt,15021.0,NA,openssl_speed
rsa2048,1,decrypt,492.4,NA,openssl_speed
rsa2048,2,sign,501.8,NA,openssl_speed
rsa2048,2,verify,16636.6,NA,openssl_speed
rsa2048,2,encrypt,15033.7,NA,openssl_speed
rsa2048,2,decrypt,494.2,NA,openssl_speed
rsa2048,3,sign,502.8,NA,openssl_speed
rsa2048,3,verify,16745.0,NA,openssl_speed
rsa2048,3,encrypt,14985.9,NA,openssl_speed
rsa2048,3,decrypt,490.2,NA,openssl_speed
rsa2048,4,sign,502.6,NA,openssl_speed
rsa2048,4,verify,16550.6,NA,openssl_speed
rsa2048,4,encrypt,14833.5,NA,openssl_speed
rsa2048,4,decrypt,491.2,NA,openssl_speed
rsa2048,5,sign,500.6,NA,openssl_speed
rsa2048,5,verify,16755.2,NA,openssl_speed
rsa2048,5,encrypt,14966.3,NA,openssl_speed
rsa2048,5,decrypt,491.8,NA,openssl_speed
