algo,repeat,op,ops_per_sec,bytes,notes
rsa4096,1,sign,71.3,NA,openssl_speed
rsa4096,1,verify,4578.0,NA,openssl_speed
rsa4096,1,encrypt,4368.2,NA,openssl_speed
rsa4096,1,decrypt,70.9,NA,openssl_speed
rsa4096,2,sign,70.9,NA,openssl_speed
rsa4096,2,verify,4592.0,NA,openssl_speed
rsa4096,2,encrypt,4376.8,NA,openssl_speed
rsa4096,2,decrypt,70.9,NA,openssl_speed
rsa4096,3,sign,71.0,NA,openssl_speed
rsa4096,3,verify,4578.5,NA,openssl_speed
rsa4096,3,encrypt,4360.4,NA,openssl_speed
rsa4096,3,decrypt,70.5,NA,openssl_speed
rsa4096,4,sign,70.7,NA,openssl_speed
rsa4096,4,verify,4561.3,NA,openssl_speed
rsa4096,4,encrypt,4347.9,NA,openssl_speed
rsa4096,4,decrypt,71.0,NA,openssl_speed
rsa4096,5,sign,71.3,NA,openssl_speed
rsa4096,5,verify,4585.5,NA,openssl_speed
rsa4096,5,encrypt,4352.1,NA,openssl_speed
rsa4096,5,decrypt,70.6,NA,openssl_speed
