Iteration, Algorithm, Time(s)
1,P-256,0.29
2,P-256,0.28
3,P-256,0.28
4,P-256,0.29
5,P-256,0.31
6,P-256,0.31
7,P-256,0.33
8,P-256,0.33
9,P-256,0.32
10,P-256,0.29
11,P-256,0.33
12,P-256,0.33
13,P-256,0.31
14,P-256,0.33
15,P-256,0.31
16,P-256,0.33
17,P-256,0.31
18,P-256,0.33
19,P-256,0.33
20,P-256,0.33
21,P-256,0.33
22,P-256,0.33
23,P-256,0.33
24,P-256,0.33
25,P-256,0.33
26,P-256,0.33
27,P-256,0.33
28,P-256,0.33
29,P-256,0.33
30,P-256,0.33
31,P-256,0.33
32,P-256,0.33
33,P-256,0.34
34,P-256,0.33
35,P-256,0.33
36,P-256,0.33
37,P-256,0.33
38,P-256,0.33
39,P-256,0.33
40,P-256,0.33
41,P-256,0.33
42,P-256,0.33
43,P-256,0.33
44,P-256,0.33
45,P-256,0.33
46,P-256,0.33
47,P-256,0.33
48,P-256,0.33
49,P-256,0.33
50,P-256,0.33
51,P-256,0.33
52,P-256,0.33
53,P-256,0.33
54,P-256,0.33
55,P-256,0.33
56,P-256,0.33
57,P-256,0.33
58,P-256,0.33
59,P-256,0.33
60,P-256,0.33
61,P-256,0.33
62,P-256,0.33
63,P-256,0.33
64,P-256,0.33
65,P-256,0.34
66,P-256,0.33
67,P-256,0.33
68,P-256,0.33
69,P-256,0.33
70,P-256,0.33
71,P-256,0.33
72,P-256,0.33
73,P-256,0.33
74,P-256,0.33
75,P-256,0.33
76,P-256,0.33
77,P-256,0.33
78,P-256,0.33
79,P-256,0.33
80,P-256,0.33
81,P-256,0.33
82,P-256,0.33
83,P-256,0.33
84,P-256,0.33
85,P-256,0.33
86,P-256,0.33
87,P-256,0.33
88,P-256,0.33
89,P-256,0.33
90,P-256,0.33
91,P-256,0.33
92,P-256,0.33
93,P-256,0.33
94,P-256,0.33
95,P-256,0.33
96,P-256,0.33
97,P-256,0.34
98,P-256,0.33
99,P-256,0.33
100,P-256,0.33
