algo,repeat,op,ops_per_sec,bytes,notes
ML-DSA-44,1,sign,980.200,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,1,verify,4279.300,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,2,sign,953.600,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,2,verify,4248.500,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,3,sign,977.302,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,3,verify,4273.300,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,4,sign,963.807,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,4,verify,4274.800,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,5,sign,968.900,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,5,verify,4269.100,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,6,sign,969.300,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,6,verify,4272.900,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,7,sign,978.402,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,7,verify,4279.400,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,8,sign,978.100,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,8,verify,4272.800,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,9,sign,977.900,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,9,verify,4269.200,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,10,sign,961.904,pk=2420|sk=2420|sig=2420,speed_table
ML-DSA-44,10,verify,4266.200,pk=2420|sk=2420|sig=2420,speed_table
