algo,repeat,op,ops_per_sec,bytes,notes
ML-KEM-768,1,encaps,10383.600,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,1,decaps,8543.500,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,2,encaps,10370.400,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,2,decaps,8553.500,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,3,encaps,10380.300,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,3,decaps,8567.500,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,4,encaps,10367.700,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,4,decaps,8554.300,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,5,encaps,10324.700,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,5,decaps,8550.500,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,6,encaps,10398.600,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,6,decaps,8580.800,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,7,encaps,10338.900,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,7,decaps,8559.300,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,8,encaps,10414.700,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,8,decaps,8556.400,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,9,encaps,10370.700,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,9,decaps,8530.100,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,10,encaps,10353.500,pk=1184|sk=32|ct=32,speed_table
ML-KEM-768,10,decaps,8557.100,pk=1184|sk=32|ct=32,speed_table
