algo,repeat,op,ops_per_sec,bytes,notes
ML-KEM-512,1,encaps,15522.200,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,1,decaps,12494.600,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,2,encaps,15485.100,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,2,decaps,12479.000,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,3,encaps,15495.300,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,3,decaps,12488.300,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,4,encaps,15469.800,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,4,decaps,12500.900,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,5,encaps,15498.400,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,5,decaps,12498.600,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,6,encaps,15454.100,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,6,decaps,12483.000,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,7,encaps,15532.000,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,7,decaps,12488.100,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,8,encaps,15496.600,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,8,decaps,12493.000,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,9,encaps,14624.800,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,9,decaps,11918.600,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,10,encaps,15500.900,pk=800|sk=32|ct=32,speed_table
ML-KEM-512,10,decaps,12469.100,pk=800|sk=32|ct=32,speed_table
