algo,repeat,op,ops_per_sec,bytes,notes
ML-DSA-65,1,sign,601.380,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,1,verify,2670.000,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,2,sign,607.318,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,2,verify,2690.400,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,3,sign,596.540,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,3,verify,2679.900,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,4,sign,602.540,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,4,verify,2674.500,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,5,sign,599.240,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,5,verify,2674.700,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,6,sign,605.739,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,6,verify,2668.000,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,7,sign,604.100,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,7,verify,2692.400,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,8,sign,601.540,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,8,verify,2678.100,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,9,sign,606.639,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,9,verify,2693.700,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,10,sign,606.039,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,10,verify,2679.500,pk=3309|sk=3309|sig=3309,speed_table
