Iteration, Algorithm, Time(s)
1,frodo976aes,0.21
2,frodo976aes,0.21
3,frodo976aes,0.23
4,frodo976aes,0.23
5,frodo976aes,0.23
6,frodo976aes,0.22
7,frodo976aes,0.23
8,frodo976aes,0.22
9,frodo976aes,0.22
10,frodo976aes,0.22
11,frodo976aes,0.23
12,frodo976aes,0.23
13,frodo976aes,0.23
14,frodo976aes,0.23
15,frodo976aes,0.22
16,frodo976aes,0.21
17,frodo976aes,0.22
18,frodo976aes,0.23
19,frodo976aes,0.23
20,frodo976aes,0.22
21,frodo976aes,0.22
22,frodo976aes,0.22
23,frodo976aes,0.22
24,frodo976aes,0.22
25,frodo976aes,0.22
26,frodo976aes,0.23
27,frodo976aes,0.22
28,frodo976aes,0.22
29,frodo976aes,0.22
30,frodo976aes,0.23
31,frodo976aes,0.22
32,frodo976aes,0.22
33,frodo976aes,0.22
34,frodo976aes,0.22
35,frodo976aes,0.23
36,frodo976aes,0.22
37,frodo976aes,0.22
38,frodo976aes,0.22
39,frodo976aes,0.23
40,frodo976aes,0.22
41,frodo976aes,0.23
42,frodo976aes,0.22
43,frodo976aes,0.23
44,frodo976aes,0.23
45,frodo976aes,0.22
46,frodo976aes,0.21
47,frodo976aes,0.22
48,frodo976aes,0.22
49,frodo976aes,0.21
50,frodo976aes,0.23
51,frodo976aes,0.22
52,frodo976aes,0.22
53,frodo976aes,0.22
54,frodo976aes,0.22
55,frodo976aes,0.22
56,frodo976aes,0.22
57,frodo976aes,0.22
58,frodo976aes,0.23
59,frodo976aes,0.23
60,frodo976aes,0.23
61,frodo976aes,0.22
62,frodo976aes,0.22
63,frodo976aes,0.22
64,frodo976aes,0.22
65,frodo976aes,0.22
66,frodo976aes,0.22
67,frodo976aes,0.23
68,frodo976aes,0.23
69,frodo976aes,0.23
70,frodo976aes,0.22
71,frodo976aes,0.23
72,frodo976aes,0.23
73,frodo976aes,0.23
74,frodo976aes,0.22
75,frodo976aes,0.22
76,frodo976aes,0.22
77,frodo976aes,0.23
78,frodo976aes,0.23
79,frodo976aes,0.22
80,frodo976aes,0.22
81,frodo976aes,0.22
82,frodo976aes,0.21
83,frodo976aes,0.22
84,frodo976aes,0.23
85,frodo976aes,0.23
86,frodo976aes,0.22
87,frodo976aes,0.22
88,frodo976aes,0.22
89,frodo976aes,0.22
90,frodo976aes,0.23
91,frodo976aes,0.22
92,frodo976aes,0.22
93,frodo976aes,0.22
94,frodo976aes,0.22
95,frodo976aes,0.23
96,frodo976aes,0.23
97,frodo976aes,0.23
98,frodo976aes,0.22
99,frodo976aes,0.22
100,frodo976aes,0.22
