Iteration, Algorithm, Time(s)
1,p521_frodo1344shake,0.23
2,p521_frodo1344shake,0.23
3,p521_frodo1344shake,0.23
4,p521_frodo1344shake,0.23
5,p521_frodo1344shake,0.24
6,p521_frodo1344shake,0.24
7,p521_frodo1344shake,0.22
8,p521_frodo1344shake,0.23
9,p521_frodo1344shake,0.24
10,p521_frodo1344shake,0.23
11,p521_frodo1344shake,0.24
12,p521_frodo1344shake,0.23
13,p521_frodo1344shake,0.23
14,p521_frodo1344shake,0.24
15,p521_frodo1344shake,0.22
16,p521_frodo1344shake,0.24
17,p521_frodo1344shake,0.24
18,p521_frodo1344shake,0.23
19,p521_frodo1344shake,0.24
20,p521_frodo1344shake,0.23
21,p521_frodo1344shake,0.23
22,p521_frodo1344shake,0.22
23,p521_frodo1344shake,0.23
24,p521_frodo1344shake,0.24
25,p521_frodo1344shake,0.23
26,p521_frodo1344shake,0.25
27,p521_frodo1344shake,0.23
28,p521_frodo1344shake,0.23
29,p521_frodo1344shake,0.24
30,p521_frodo1344shake,0.24
31,p521_frodo1344shake,0.24
32,p521_frodo1344shake,0.23
33,p521_frodo1344shake,0.23
34,p521_frodo1344shake,0.23
35,p521_frodo1344shake,0.24
36,p521_frodo1344shake,0.24
37,p521_frodo1344shake,0.24
38,p521_frodo1344shake,0.24
39,p521_frodo1344shake,0.23
40,p521_frodo1344shake,0.23
41,p521_frodo1344shake,0.23
42,p521_frodo1344shake,0.23
43,p521_frodo1344shake,0.23
44,p521_frodo1344shake,0.24
45,p521_frodo1344shake,0.24
46,p521_frodo1344shake,0.23
47,p521_frodo1344shake,0.24
48,p521_frodo1344shake,0.22
49,p521_frodo1344shake,0.24
50,p521_frodo1344shake,0.23
51,p521_frodo1344shake,0.22
52,p521_frodo1344shake,0.24
53,p521_frodo1344shake,0.23
54,p521_frodo1344shake,0.23
55,p521_frodo1344shake,0.22
56,p521_frodo1344shake,0.22
57,p521_frodo1344shake,0.23
58,p521_frodo1344shake,0.23
59,p521_frodo1344shake,0.22
60,p521_frodo1344shake,0.24
61,p521_frodo1344shake,0.23
62,p521_frodo1344shake,0.23
63,p521_frodo1344shake,0.23
64,p521_frodo1344shake,0.24
65,p521_frodo1344shake,0.23
66,p521_frodo1344shake,0.22
67,p521_frodo1344shake,0.23
68,p521_frodo1344shake,0.24
69,p521_frodo1344shake,0.24
70,p521_frodo1344shake,0.23
71,p521_frodo1344shake,0.23
72,p521_frodo1344shake,0.24
73,p521_frodo1344shake,0.23
74,p521_frodo1344shake,0.23
75,p521_frodo1344shake,0.25
76,p521_frodo1344shake,0.24
77,p521_frodo1344shake,0.23
78,p521_frodo1344shake,0.24
79,p521_frodo1344shake,0.23
80,p521_frodo1344shake,0.24
81,p521_frodo1344shake,0.23
82,p521_frodo1344shake,0.23
83,p521_frodo1344shake,0.22
84,p521_frodo1344shake,0.23
85,p521_frodo1344shake,0.24
86,p521_frodo1344shake,0.22
87,p521_frodo1344shake,0.24
88,p521_frodo1344shake,0.23
89,p521_frodo1344shake,0.24
90,p521_frodo1344shake,0.23
91,p521_frodo1344shake,0.23
92,p521_frodo1344shake,0.23
93,p521_frodo1344shake,0.24
94,p521_frodo1344shake,0.22
95,p521_frodo1344shake,0.23
96,p521_frodo1344shake,0.22
97,p521_frodo1344shake,0.22
98,p521_frodo1344shake,0.23
99,p521_frodo1344shake,0.24
100,p521_frodo1344shake,0.24
