Iteration, Algorithm, Time(s)
1,p384_frodo976aes,0.25
2,p384_frodo976aes,0.26
3,p384_frodo976aes,0.26
4,p384_frodo976aes,0.26
5,p384_frodo976aes,0.26
6,p384_frodo976aes,0.25
7,p384_frodo976aes,0.26
8,p384_frodo976aes,0.26
9,p384_frodo976aes,0.26
10,p384_frodo976aes,0.25
11,p384_frodo976aes,0.25
12,p384_frodo976aes,0.26
13,p384_frodo976aes,0.25
14,p384_frodo976aes,0.25
15,p384_frodo976aes,0.26
16,p384_frodo976aes,0.26
17,p384_frodo976aes,0.27
18,p384_frodo976aes,0.27
19,p384_frodo976aes,0.27
20,p384_frodo976aes,0.26
21,p384_frodo976aes,0.26
22,p384_frodo976aes,0.25
23,p384_frodo976aes,0.25
24,p384_frodo976aes,0.25
25,p384_frodo976aes,0.27
26,p384_frodo976aes,0.26
27,p384_frodo976aes,0.25
28,p384_frodo976aes,0.26
29,p384_frodo976aes,0.25
30,p384_frodo976aes,0.27
31,p384_frodo976aes,0.27
32,p384_frodo976aes,0.25
33,p384_frodo976aes,0.27
34,p384_frodo976aes,0.25
35,p384_frodo976aes,0.25
36,p384_frodo976aes,0.26
37,p384_frodo976aes,0.25
38,p384_frodo976aes,0.26
39,p384_frodo976aes,0.25
40,p384_frodo976aes,0.27
41,p384_frodo976aes,0.25
42,p384_frodo976aes,0.26
43,p384_frodo976aes,0.27
44,p384_frodo976aes,0.28
45,p384_frodo976aes,0.27
46,p384_frodo976aes,0.27
47,p384_frodo976aes,0.27
48,p384_frodo976aes,0.27
49,p384_frodo976aes,0.25
50,p384_frodo976aes,0.27
51,p384_frodo976aes,0.26
52,p384_frodo976aes,0.25
53,p384_frodo976aes,0.27
54,p384_frodo976aes,0.26
55,p384_frodo976aes,0.26
56,p384_frodo976aes,0.27
57,p384_frodo976aes,0.26
58,p384_frodo976aes,0.26
59,p384_frodo976aes,0.27
60,p384_frodo976aes,0.27
61,p384_frodo976aes,0.25
62,p384_frodo976aes,0.25
63,p384_frodo976aes,0.27
64,p384_frodo976aes,0.27
65,p384_frodo976aes,0.27
66,p384_frodo976aes,0.27
67,p384_frodo976aes,0.26
68,p384_frodo976aes,0.27
69,p384_frodo976aes,0.26
70,p384_frodo976aes,0.26
71,p384_frodo976aes,0.27
72,p384_frodo976aes,0.27
73,p384_frodo976aes,0.27
74,p384_frodo976aes,0.26
75,p384_frodo976aes,0.26
76,p384_frodo976aes,0.25
77,p384_frodo976aes,0.25
78,p384_frodo976aes,0.26
79,p384_frodo976aes,0.26
80,p384_frodo976aes,0.25
81,p384_frodo976aes,0.25
82,p384_frodo976aes,0.25
83,p384_frodo976aes,0.27
84,p384_frodo976aes,0.26
85,p384_frodo976aes,0.26
86,p384_frodo976aes,0.26
87,p384_frodo976aes,0.27
88,p384_frodo976aes,0.27
89,p384_frodo976aes,0.27
90,p384_frodo976aes,0.25
91,p384_frodo976aes,0.26
92,p384_frodo976aes,0.27
93,p384_frodo976aes,0.26
94,p384_frodo976aes,0.26
95,p384_frodo976aes,0.26
96,p384_frodo976aes,0.25
97,p384_frodo976aes,0.27
98,p384_frodo976aes,0.26
99,p384_frodo976aes,0.27
100,p384_frodo976aes,0.26
