algo,repeat,op,ops_per_sec,bytes,notes
ML-DSA-87,1,sign,161.584,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,1,verify,598.980,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,2,sign,162.235,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,2,verify,599.080,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,3,sign,161.384,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,3,verify,599.440,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,4,sign,159.352,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,4,verify,598.980,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,5,sign,158.884,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,5,verify,599.100,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,6,sign,164.052,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,6,verify,599.300,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,7,sign,165.017,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,7,verify,599.040,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,8,sign,153.700,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,8,verify,599.200,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,9,sign,161.284,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,9,verify,599.340,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,10,sign,158.668,pk=4627|sk=4627|sig=4627,speed_table
ML-DSA-87,10,verify,599.040,pk=4627|sk=4627|sig=4627,speed_table
