algo,repeat,op,ops_per_sec,bytes,notes
ML-KEM-1024,1,encaps,4620.900,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,1,decaps,4206.400,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,2,encaps,4779.200,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,2,decaps,4358.900,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,3,encaps,4801.900,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,3,decaps,4362.600,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,4,encaps,4614.700,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,4,decaps,4224.200,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,5,encaps,4794.800,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,5,decaps,4354.100,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,6,encaps,4783.700,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,6,decaps,4352.600,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,7,encaps,4793.100,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,7,decaps,4359.900,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,8,encaps,4782.700,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,8,decaps,4353.300,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,9,encaps,4791.700,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,9,decaps,4361.600,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,10,encaps,4792.800,pk=1568|sk=32|ct=32,speed_table
ML-KEM-1024,10,decaps,4358.400,pk=1568|sk=32|ct=32,speed_table
