algo,repeat,op,ops_per_sec,bytes,notes
ML-DSA-65,1,sign,187.406,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,1,verify,943.906,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,2,sign,185.544,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,2,verify,943.400,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,3,sign,188.562,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,3,verify,944.000,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,4,sign,192.262,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,4,verify,943.406,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,5,sign,188.681,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,5,verify,943.300,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,6,sign,189.743,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,6,verify,943.900,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,7,sign,193.487,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,7,verify,943.700,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,8,sign,185.700,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,8,verify,943.306,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,9,sign,190.581,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,9,verify,943.700,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,10,sign,188.781,pk=3309|sk=3309|sig=3309,speed_table
ML-DSA-65,10,verify,943.606,pk=3309|sk=3309|sig=3309,speed_table
