algo,repeat,op,ops_per_sec,bytes,notes
rsa3072,1,sign,37.1,NA,openssl_speed
rsa3072,1,verify,1927.8,NA,openssl_speed
rsa3072,1,encrypt,1827.5,NA,openssl_speed
rsa3072,1,decrypt,36.8,NA,openssl_speed
rsa3072,2,sign,37.5,NA,openssl_speed
rsa3072,2,verify,1915.2,NA,openssl_speed
rsa3072,2,encrypt,1827.5,NA,openssl_speed
rsa3072,2,decrypt,36.8,NA,openssl_speed
rsa3072,3,sign,36.7,NA,openssl_speed
rsa3072,3,verify,1921.4,NA,openssl_speed
rsa3072,3,encrypt,1799.6,NA,openssl_speed
rsa3072,3,decrypt,36.3,NA,openssl_speed
rsa3072,4,sign,36.9,NA,openssl_speed
rsa3072,4,verify,1912.2,NA,openssl_speed
rsa3072,4,encrypt,1806.2,NA,openssl_speed
rsa3072,4,decrypt,36.4,NA,openssl_speed
rsa3072,5,sign,36.8,NA,openssl_speed
rsa3072,5,verify,1902.8,NA,openssl_speed
rsa3072,5,encrypt,1807.8,NA,openssl_speed
rsa3072,5,decrypt,36.1,NA,openssl_speed
