algo,repeat,op,ops_per_sec,bytes,notes
rsa2048,1,sign,127.7,NA,openssl_speed
rsa2048,1,verify,4739.0,NA,openssl_speed
rsa2048,1,encrypt,4348.1,NA,openssl_speed
rsa2048,1,decrypt,126.8,NA,openssl_speed
rsa2048,2,sign,120.2,NA,openssl_speed
rsa2048,2,verify,4450.3,NA,openssl_speed
rsa2048,2,encrypt,4078.3,NA,openssl_speed
rsa2048,2,decrypt,116.8,NA,openssl_speed
rsa2048,3,sign,117.2,NA,openssl_speed
rsa2048,3,verify,4334.4,NA,openssl_speed
rsa2048,3,encrypt,3948.5,NA,openssl_speed
rsa2048,3,decrypt,114.2,NA,openssl_speed
rsa2048,4,sign,113.0,NA,openssl_speed
rsa2048,4,verify,4185.6,NA,openssl_speed
rsa2048,4,encrypt,3829.9,NA,openssl_speed
rsa2048,4,decrypt,111.6,NA,openssl_speed
rsa2048,5,sign,113.0,NA,openssl_speed
rsa2048,5,verify,4180.6,NA,openssl_speed
rsa2048,5,encrypt,3806.0,NA,openssl_speed
rsa2048,5,decrypt,110.6,NA,openssl_speed
